,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Onverwacht,707521.0,806400.0,734607.0,715555.0,903147.0,941804.0,911184.0,1038652.0,1075384.0,1337500.0
Muizenberg,594750.0,626945.0,724111.0,859258.0,833021.0,993710.0,1164337.0,1299725.0,1292921.0,1288882.0
Hout Bay,2154843.0,2170260.0,2158504.0,2471255.0,2850729.0,3003449.0,3785415.0,3397544.0,3301043.0,3600000.0
Somerset Ridge,1016063.0,1163279.0,1087351.0,1235460.0,1393949.0,1460966.0,1748457.0,1730212.0,1770703.0,1517500.0
Welgemoed,2423330.0,2959371.0,2554309.0,3100416.0,3287035.0,3443133.0,3726814.0,4199157.0,3880633.0,3362500.0
Cape Town,941228.0,993857.0,1085437.0,1234498.0,1341506.0,1575036.0,1681757.0,1660786.0,1602793.0,1515588.0
Heritage Park,952674.0,958038.0,885323.0,1091904.0,1270871.0,1358931.0,1519406.0,1516603.0,1789629.0,1963636.0
Northshore,1982508.0,1825000.0,2066416.0,2390913.0,2709545.0,2765413.0,3853461.0,3302708.0,3012761.0,4700000.0
George,700558.0,715176.0,732596.0,802685.0,941086.0,942411.0,1045698.0,1074894.0,1203944.0,1426852.0
Claremont,1244922.0,1442310.0,1608251.0,1928684.0,2077780.0,2548905.0,2642591.0,2752827.0,2759745.0,2767867.0
Klapmuts,292843.0,233277.0,533761.0,507634.0,337122.0,344478.0,407434.0,320428.0,693350.0,474595.0
Parow,877214.0,952612.0,1024035.0,1154283.0,1224024.0,1190767.0,1372976.0,1353137.0,1367773.0,1591783.0
De Zoete Inval,833312.0,1048846.0,993730.0,755657.0,906136.0,1034729.0,1683500.0,1169147.0,864000.0,1075500.0
Aurora,1876000.0,1927875.0,1856500.0,2270588.0,2261106.0,2350750.0,3092647.0,2664642.0,3062636.0,2266666.0
Oudtshoorn,444310.0,449075.0,478420.0,493307.0,605254.0,615603.0,646013.0,653479.0,754627.0,801908.0
Gordons Bay,616698.0,619772.0,638698.0,747653.0,708583.0,750873.0,833459.0,875320.0,952475.0,1035758.0
Westcliff,898241.0,663171.0,831095.0,1021631.0,795756.0,830061.0,779559.0,1161523.0,1241707.0,1353888.0
Pearl Valley At Val De Vie,2733670.0,3788314.0,3598333.0,2772805.0,3023094.0,3347448.0,2598448.0,2701002.0,4395505.0,4874773.0
Green Point,1806044.0,1708909.0,2047631.0,2210522.0,2687199.0,3361871.0,3759538.0,3517979.0,3167966.0,3799092.0
Sea Point,1528726.0,1535409.0,1745678.0,2029154.0,2434696.0,3352493.0,3651408.0,3504355.0,4116580.0,2833826.0
Boschenmeer Golf And Country Estate,1479725.0,2296499.0,2229797.0,2638114.0,3283705.0,3163296.0,3865454.0,4201333.0,4537678.0,2297333.0
Knysna,1307598.0,1422173.0,1415351.0,1395302.0,1457022.0,1579763.0,1504996.0,1157250.0,1545577.0,1749885.0
