,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Murraysburg,66139.0,174550.0,98142.0,101000.0,147333.0,155800.0,88815.0,125428.0,820454.0,100000.0
Vleesbaai,908833.0,2131500.0,1463981.0,1250230.0,1961272.0,909130.0,1114318.0,1130000.0,840000.0,667500.0
Hagley,321500.0,301833.0,338287.0,499962.0,693852.0,456651.0,520081.0,617915.0,703979.0,858555.0
Bluewater Bay,523333.0,515380.0,445296.0,598444.0,750579.0,544098.0,581302.0,638443.0,890527.0,926000.0
De Tijger,1444250.0,1481666.0,1741190.0,1582115.0,1855931.0,2083392.0,2228073.0,2200000.0,2141785.0,2250000.0
Richmond,672500.0,645111.0,725142.0,878333.0,916515.0,1043750.0,1074000.0,1155714.0,1243333.0,1430000.0
Brackenridge Estate,538668.0,340047.0,1154088.0,2142142.0,1645022.0,679906.0,543341.0,1416166.0,705230.0,1262500.0
Saron,64135.0,100909.0,78375.0,118437.0,105964.0,188100.0,77500.0,111923.0,144736.0,146250.0
Mandela Park,76203.0,95742.0,101852.0,122664.0,174064.0,216653.0,196988.0,245638.0,216786.0,305764.0
Duynefontein,1348000.0,1496428.0,1696052.0,1671095.0,1855625.0,2196818.0,2342103.0,2445833.0,2170000.0,2593750.0
Grootbrakhoogte,1140000.0,1500000.0,1825000.0,693333.0,1600000.0,2258333.0,1205000.0,2120000.0,5250000.0,
Fernkloof Estate,1278810.0,1672965.0,1464603.0,2274091.0,3367103.0,4934300.0,4453947.0,6987500.0,7783888.0,4300000.0
Die Wingerd,835625.0,1170000.0,1125000.0,2823333.0,1267500.0,820714.0,927500.0,1826250.0,1570000.0,
Highbury,390836.0,371081.0,495409.0,560629.0,567397.0,664147.0,724148.0,770301.0,813986.0,759567.0
Fish Hoek,1036042.0,1157498.0,1318076.0,1377944.0,1465559.0,1650175.0,1929640.0,1913808.0,1848766.0,2008783.0
La Colline,794426.0,827648.0,774054.0,876388.0,968133.0,904933.0,1148133.0,1189533.0,1315517.0,1121714.0
Century City,1398743.0,1423235.0,1552609.0,1967579.0,2015190.0,2132391.0,2523748.0,3082944.0,2591830.0,1980769.0
Robertson,632536.0,614728.0,672604.0,612287.0,831989.0,832208.0,817910.0,906571.0,914685.0,1079500.0
Sillery,,,,,,,,,,
Stompneus Bay,,,,,,,,,,
Witteklip,51891.0,55200.0,62299.0,61369.0,55274.0,60940.0,67294.0,85716.0,79800.0,80000.0
Prince Alfred Hamlet,444750.0,287529.0,393750.0,633269.0,796714.0,434705.0,784521.0,632250.0,855818.0,1643000.0
Silversands,447939.0,455838.0,491784.0,525738.0,540140.0,636712.0,680195.0,625491.0,610563.0,648669.0
Grabouw,450820.0,389837.0,396889.0,433888.0,547470.0,694845.0,728612.0,733681.0,523315.0,703468.0
Universiteitsoord,1049957.0,1068412.0,697117.0,1150662.0,1248589.0,1188983.0,1142793.0,1592093.0,1849922.0,1950000.0
Touws River Rural,,,,,,,,,,
Goodwood,801933.0,855707.0,905516.0,999243.0,1108912.0,1154634.0,1325310.0,1422361.0,1435064.0,1487512.0
Fernwood Estate,516666.0,425000.0,898000.0,1014583.0,987000.0,904812.0,826250.0,,,
Stanford Rural,,,,,,,,,,
Macassar,278163.0,272515.0,276441.0,285934.0,331983.0,319501.0,407420.0,382041.0,424740.0,499499.0
Golden Mile,759761.0,962222.0,1139933.0,862850.0,720957.0,789829.0,569764.0,941463.0,740360.0,1058600.0
Woodlands,314251.0,267541.0,289581.0,344708.0,335934.0,432726.0,486090.0,520625.0,567969.0,549166.0
Wolvengat,,,,,,,,,,
Gaylands,4183333.0,5500000.0,4016666.0,5500000.0,5450000.0,6425000.0,5700000.0,7700000.0,7600000.0,
Durbanville Hills,1697395.0,1584677.0,1831037.0,2299501.0,2386800.0,2945357.0,3218526.0,3387105.0,3285000.0,3550000.0
Jakarandas,873614.0,957851.0,959479.0,991398.0,1051784.0,1130789.0,1217957.0,1404083.0,1615500.0,1920000.0
Cape Town City Centre,1088929.0,1092511.0,1204437.0,1212547.0,1648552.0,1953795.0,2208865.0,2251958.0,1996937.0,1585681.0
Voelklip,1592956.0,1640705.0,1956130.0,2113424.0,2041758.0,2178994.0,2327998.0,3215982.0,3443328.0,2915416.0
Riversdale,402709.0,601292.0,486617.0,509726.0,551584.0,671576.0,644346.0,651610.0,724450.0,1143875.0
Upper Robberg,1411666.0,1032500.0,1299500.0,1049715.0,1155388.0,1225160.0,1325172.0,1216785.0,1295000.0,1183333.0
Malmesbury,414886.0,453364.0,489916.0,595544.0,632017.0,652502.0,611870.0,726729.0,653439.0,447735.0
Parow North,955083.0,1073400.0,991897.0,1023427.0,1058178.0,1326222.0,1278185.0,1197652.0,1381215.0,1687272.0
Wellington North,880973.0,882398.0,916481.0,881953.0,977287.0,870268.0,1035750.0,1061520.0,1145462.0,969404.0
Rondevlei Park,363481.0,331388.0,314708.0,388554.0,409016.0,463062.0,444525.0,542919.0,787615.0,789833.0
Park Village,199888.0,324615.0,230368.0,296000.0,379933.0,402553.0,338800.0,416727.0,541770.0,468604.0
Bonnievale,670633.0,662277.0,404930.0,441807.0,505833.0,790890.0,701897.0,616240.0,852170.0,1392500.0
Lutzville,438316.0,406912.0,540500.0,389004.0,591401.0,489631.0,380888.0,693750.0,567969.0,304000.0
George,700558.0,715176.0,732596.0,802685.0,941086.0,942411.0,1045698.0,1074894.0,1203944.0,1426852.0
Lagoon Beach,,,,,,,,,,
Weltevreden Valley,356500.0,415307.0,371780.0,998081.0,452500.0,464500.0,334566.0,726032.0,573211.0,725000.0
Vanrhynsdorp,346750.0,261540.0,395828.0,452240.0,412234.0,349906.0,394100.0,452884.0,372078.0,843825.0
Hartenbos Heuwels,826666.0,980720.0,978312.0,1210932.0,1228694.0,1128648.0,1295782.0,1512567.0,1539635.0,1830000.0
Silwerstrand Golf And River Estate,267536.0,198503.0,185360.0,504761.0,316555.0,659725.0,336132.0,490470.0,518600.0,375714.0
Glen Marine,865033.0,850000.0,689200.0,1406666.0,1300300.0,792500.0,1624083.0,1413600.0,850000.0,1875000.0
Strandfontein,957692.0,950000.0,840844.0,949657.0,811913.0,697272.0,1127710.0,752083.0,835000.0,708800.0
Diaz Beach,1239148.0,1034587.0,1004582.0,988869.0,924217.0,1106639.0,956129.0,1211171.0,1584542.0,1994523.0
Leeu Gamka,30000.0,36226.0,18000.0,59181.0,24200.0,167725.0,32500.0,30000.0,,
Britannia Bay,462600.0,357139.0,259017.0,277457.0,340678.0,435417.0,488736.0,223826.0,571113.0,309444.0
Milkwood Park,907833.0,976468.0,1075690.0,1076348.0,1244766.0,1227500.0,1580500.0,1660846.0,1527821.0,1995833.0
Palmiet,764634.0,829119.0,797812.0,814837.0,778856.0,976846.0,1131514.0,1232540.0,958800.0,864444.0
Darling,511212.0,439081.0,540251.0,725196.0,690419.0,551092.0,666560.0,607871.0,674419.0,689925.0
Eindhoven,95086.0,105723.0,125664.0,74312.0,140707.0,146164.0,132176.0,157705.0,213354.0,174426.0
Voorbrug,220464.0,243271.0,251256.0,249853.0,264877.0,282667.0,319280.0,319156.0,374606.0,429000.0
Kenridge,1634886.0,1788620.0,1994272.0,1983103.0,2351367.0,2916923.0,2917321.0,2759843.0,2774821.0,3191666.0
Silwood Heights,251938.0,261369.0,254676.0,322883.0,332203.0,366148.0,399161.0,532180.0,410275.0,323384.0
Capri,1474583.0,1116666.0,2945000.0,977500.0,1592500.0,1985833.0,2030000.0,1445000.0,2233333.0,1450000.0
Delft,68017.0,72731.0,88545.0,185576.0,106387.0,101903.0,161020.0,156020.0,149629.0,191315.0
Malgas,1602083.0,1504166.0,1198835.0,1634190.0,1932142.0,1456631.0,1227352.0,1859583.0,1560625.0,1900000.0
Lekkerwater,525000.0,2133600.0,1186700.0,861000.0,1763586.0,961666.0,2620000.0,1215666.0,11350000.0,
Clanwilliam,562550.0,241234.0,591413.0,466795.0,653216.0,436993.0,418193.0,575300.0,362826.0,94166.0
Sandpyper Village,142333.0,110000.0,102437.0,117500.0,93250.0,106666.0,145000.0,153333.0,157000.0,198250.0
Sherwood,216433.0,207357.0,249421.0,286454.0,298571.0,335730.0,355570.0,313076.0,313909.0,442500.0
Hospital Hill,377727.0,398233.0,507218.0,439757.0,562146.0,504376.0,640364.0,491216.0,667884.0,910000.0
Monte Christo,230922.0,191500.0,260319.0,235545.0,275133.0,378856.0,1135425.0,1288949.0,1311991.0,468750.0
Devon Park,315000.0,550000.0,493250.0,501000.0,447500.0,818750.0,671428.0,886666.0,,
Mxolisi Phetani,7500.0,57000000.0,146333.0,144857.0,109150.0,149444.0,139361.0,169352.0,240000.0,
Beaufort West Rural,,,,,,,,,,
De Rust,447777.0,262714.0,313583.0,678896.0,565333.0,647026.0,599741.0,747307.0,580071.0,1092500.0
Onverwacht,707521.0,806400.0,734607.0,715555.0,903147.0,941804.0,911184.0,1038652.0,1075384.0,1337500.0
Blue Lagoon,261319.0,484880.0,564744.0,700471.0,696609.0,843382.0,1149302.0,1232421.0,1486800.0,2370000.0
Harare,27965.0,36366.0,115154.0,107382.0,186699.0,99276.0,184980.0,203089.0,179907.0,204901.0
Welbedacht,886634.0,1189818.0,1140769.0,1496428.0,1469349.0,1376640.0,1428333.0,1460640.0,2288222.0,
Kleinbaai,851666.0,668165.0,909903.0,990714.0,590403.0,905333.0,870523.0,933980.0,763947.0,840000.0
Langeberg Heights,812328.0,660891.0,612584.0,1028186.0,1705648.0,1559500.0,812083.0,601774.0,1184002.0,1711798.0
Fonteine Park,860000.0,731000.0,791428.0,697181.0,730833.0,791500.0,841666.0,935000.0,1123750.0,1500000.0
Eastcliff,2237307.0,1922861.0,1773500.0,2401428.0,3067600.0,2845735.0,3221681.0,3617142.0,4456428.0,4350000.0
